timestamp_utc,entity_id,entity_type,display_name,query,error
2026-06-17T21:18:55.973618+00:00,company_597b7d9847687a8d4471,company,2501.ai,"""2501.ai"" VivaTech exhibitor company France Industry & Supply Chain",search page appears to be blocked by anti-bot challenge
2026-06-17T21:18:56.570145+00:00,company_adf6cf79dfd4ff85a8a3,company,2be-Fficient,"""2be-Fficient"" VivaTech exhibitor company France Artificial Intelligence & Robotics",search page appears to be blocked by anti-bot challenge
2026-06-17T21:18:57.856381+00:00,company_2cc617579bbe2e48b22e,company,3dvarius,"""3dvarius"" VivaTech exhibitor company France Artificial Intelligence & Robotics",search page appears to be blocked by anti-bot challenge
2026-06-17T21:18:59.682795+00:00,company_10bad68efff4dfe03872,company,[E-Security.bio],"""[E-Security.bio]"" VivaTech exhibitor company Portugal DeepTech",search page appears to be blocked by anti-bot challenge
2026-06-17T21:19:01.807542+00:00,company_4783811856c5c8b01c6c,company,Abillio,"""Abillio"" VivaTech exhibitor company Latvia Fintech & Banking & Compliance",search page appears to be blocked by anti-bot challenge
2026-06-17T21:19:02.581022+00:00,company_6b77084b8e4240c2a828,company,"Abr Co., Ltd","""Abr Co., Ltd"" VivaTech exhibitor company South Korea Energy & Greentech",search page appears to be blocked by anti-bot challenge
2026-06-17T21:19:04.532820+00:00,company_94dbca79da444ed6b781,company,Abx3pv Private Limited,"""Abx3pv Private Limited"" VivaTech exhibitor company India DeepTech",search page appears to be blocked by anti-bot challenge
2026-06-17T21:19:05.198732+00:00,company_4d4247dc6011944c3b71,company,Abyssale,"""Abyssale"" VivaTech exhibitor company France Marketing & Advertising",search page appears to be blocked by anti-bot challenge
2026-06-17T21:19:05.836938+00:00,company_a54916c0d60ed0bebc1c,company,Ac Biode,"""Ac Biode"" VivaTech exhibitor company Luxembourg Energy & Greentech",search page appears to be blocked by anti-bot challenge
2026-06-17T21:19:06.618759+00:00,company_9a59e92519bccb259cde,company,Acceliontech,"""Acceliontech"" VivaTech exhibitor company Germany Artificial Intelligence & Robotics",search page appears to be blocked by anti-bot challenge
2026-06-17T21:19:07.296220+00:00,company_fde263cb71f931d745ae,company,Accord,"""Accord"" VivaTech exhibitor company Jordan Artificial Intelligence & Robotics",search page appears to be blocked by anti-bot challenge
2026-06-17T21:19:07.841839+00:00,company_411357fc4dda64aaa623,company,Accudire,"""Accudire"" VivaTech exhibitor company Italy Industry & Supply Chain",search page appears to be blocked by anti-bot challenge
2026-06-17T21:19:08.502857+00:00,company_4d08d73169be585f6a88,company,Aces O+,"""Aces O+"" VivaTech exhibitor company France Artificial Intelligence & Robotics",search page appears to be blocked by anti-bot challenge
2026-06-17T21:19:10.435165+00:00,company_3a133294400f8d0b9e5d,company,Actionable,"""Actionable"" VivaTech exhibitor company France Retail & E-commerce",search page appears to be blocked by anti-bot challenge
2026-06-17T21:19:10.996786+00:00,company_6428215563202d90e088,company,Active Asset Allocation,"""Active Asset Allocation"" VivaTech exhibitor company France Fintech & Banking & Compliance",search page appears to be blocked by anti-bot challenge
2026-06-17T21:19:11.599340+00:00,company_430d3f5ebcecee80976c,company,Actu Ia,"""Actu Ia"" VivaTech exhibitor company France Artificial Intelligence & Robotics",search page appears to be blocked by anti-bot challenge
2026-06-17T21:19:12.217668+00:00,company_05079d36317f599d51dc,company,Ad System,"""Ad System"" VivaTech exhibitor company korearepublicof Artificial Intelligence & Robotics",search page appears to be blocked by anti-bot challenge
2026-06-17T21:19:12.899324+00:00,company_fbd94e316ca17c03db66,company,Ad Verbum,"""Ad Verbum"" VivaTech exhibitor company Latvia Fintech & Banking & Compliance",search page appears to be blocked by anti-bot challenge
2026-06-17T21:19:13.432118+00:00,company_8e6277e262cf17f4b39c,company,Ad'Occ - Région Occitanie,"""Ad'Occ - Région Occitanie"" VivaTech exhibitor company France Artificial Intelligence & Robotics",search page appears to be blocked by anti-bot challenge
2026-06-17T21:19:15.348984+00:00,company_3c2be8f1569a091e15f2,company,Addatech Systems,"""Addatech Systems"" VivaTech exhibitor company Canada Healthcare & Wellness",search page appears to be blocked by anti-bot challenge
2026-06-17T21:19:18.698632+00:00,company_4dbd61d2eab7510a2023,company,"Adoasis, Inc","""Adoasis, Inc"" VivaTech exhibitor company United States of America Luxury & Fashion & Cosmetics",search page appears to be blocked by anti-bot challenge
2026-06-17T21:19:19.338959+00:00,company_e20422af3005862eb800,company,Adobe,"""Adobe"" VivaTech exhibitor company United States of America Marketing & Advertising",search page appears to be blocked by anti-bot challenge
2026-06-17T21:19:20.763152+00:00,company_82a126544d3a51a4efbd,company,Adsrank,"""Adsrank"" VivaTech exhibitor company France Artificial Intelligence & Robotics",search page appears to be blocked by anti-bot challenge
2026-06-17T21:19:24.181157+00:00,company_5f5dd6b430d35d2f340e,company,"Aeacbio Co.,ltd.","""Aeacbio Co.,ltd."" VivaTech exhibitor company korearepublicof Artificial Intelligence & Robotics",search page appears to be blocked by anti-bot challenge
2026-06-17T21:19:25.358771+00:00,company_e1e40e17308493f8094d,company,Aequidem,"""Aequidem"" VivaTech exhibitor company France Diversity & Inclusion",search page appears to be blocked by anti-bot challenge
2026-06-17T21:19:26.149324+00:00,company_04caeb28480003d727ff,company,Aerleum,"""Aerleum"" VivaTech exhibitor company France Energy & Greentech",search page appears to be blocked by anti-bot challenge
2026-06-17T21:19:27.368689+00:00,company_61ffadb67487267645dc,company,Aerones,"""Aerones"" VivaTech exhibitor company Latvia Artificial Intelligence & Robotics",search page appears to be blocked by anti-bot challenge
2026-06-17T21:19:29.848754+00:00,company_7774bc402b8f3bb91ef2,company,Africanity-Group,"""Africanity-Group"" VivaTech exhibitor company Senegal Cloud & Infrastructure & Connectivity",search page appears to be blocked by anti-bot challenge
2026-06-17T21:19:31.193459+00:00,company_bd6686d41124db424505,company,Afterdata,"""Afterdata"" VivaTech exhibitor company France Artificial Intelligence & Robotics",search page appears to be blocked by anti-bot challenge
2026-06-17T21:19:53.414947+00:00,company_597b7d9847687a8d4471,company,2501.ai,"""2501.ai"" VivaTech exhibitor company France Industry & Supply Chain",search page appears to be blocked by anti-bot challenge
2026-06-17T21:19:53.994876+00:00,company_adf6cf79dfd4ff85a8a3,company,2be-Fficient,"""2be-Fficient"" VivaTech exhibitor company France Artificial Intelligence & Robotics",search page appears to be blocked by anti-bot challenge
2026-06-17T21:19:54.600726+00:00,company_2cc617579bbe2e48b22e,company,3dvarius,"""3dvarius"" VivaTech exhibitor company France Artificial Intelligence & Robotics",search page appears to be blocked by anti-bot challenge
2026-06-17T21:19:55.130821+00:00,company_10bad68efff4dfe03872,company,[E-Security.bio],"""[E-Security.bio]"" VivaTech exhibitor company Portugal DeepTech",search page appears to be blocked by anti-bot challenge
2026-06-17T21:19:55.725015+00:00,company_4783811856c5c8b01c6c,company,Abillio,"""Abillio"" VivaTech exhibitor company Latvia Fintech & Banking & Compliance",search page appears to be blocked by anti-bot challenge
2026-06-17T21:19:56.251482+00:00,company_6b77084b8e4240c2a828,company,"Abr Co., Ltd","""Abr Co., Ltd"" VivaTech exhibitor company South Korea Energy & Greentech",search page appears to be blocked by anti-bot challenge
2026-06-17T21:19:56.823933+00:00,company_94dbca79da444ed6b781,company,Abx3pv Private Limited,"""Abx3pv Private Limited"" VivaTech exhibitor company India DeepTech",search page appears to be blocked by anti-bot challenge
2026-06-17T21:19:58.924600+00:00,company_fde263cb71f931d745ae,company,Accord,"""Accord"" VivaTech exhibitor company Jordan Artificial Intelligence & Robotics",search page appears to be blocked by anti-bot challenge
2026-06-17T21:19:59.413814+00:00,company_411357fc4dda64aaa623,company,Accudire,"""Accudire"" VivaTech exhibitor company Italy Industry & Supply Chain",search page appears to be blocked by anti-bot challenge
2026-06-17T21:20:00.575480+00:00,company_3a133294400f8d0b9e5d,company,Actionable,"""Actionable"" VivaTech exhibitor company France Retail & E-commerce",search page appears to be blocked by anti-bot challenge
2026-06-17T21:20:01.148169+00:00,company_6428215563202d90e088,company,Active Asset Allocation,"""Active Asset Allocation"" VivaTech exhibitor company France Fintech & Banking & Compliance",search page appears to be blocked by anti-bot challenge
2026-06-17T21:20:02.201734+00:00,company_05079d36317f599d51dc,company,Ad System,"""Ad System"" VivaTech exhibitor company korearepublicof Artificial Intelligence & Robotics",search page appears to be blocked by anti-bot challenge
2026-06-17T21:20:02.741085+00:00,company_fbd94e316ca17c03db66,company,Ad Verbum,"""Ad Verbum"" VivaTech exhibitor company Latvia Fintech & Banking & Compliance",search page appears to be blocked by anti-bot challenge
2026-06-17T21:20:04.183994+00:00,company_4dbd61d2eab7510a2023,company,"Adoasis, Inc","""Adoasis, Inc"" VivaTech exhibitor company United States of America Luxury & Fashion & Cosmetics",search page appears to be blocked by anti-bot challenge
2026-06-17T21:20:04.645489+00:00,company_e20422af3005862eb800,company,Adobe,"""Adobe"" VivaTech exhibitor company United States of America Marketing & Advertising",search page appears to be blocked by anti-bot challenge
2026-06-17T21:20:05.735419+00:00,company_5f5dd6b430d35d2f340e,company,"Aeacbio Co.,ltd.","""Aeacbio Co.,ltd."" VivaTech exhibitor company korearepublicof Artificial Intelligence & Robotics",search page appears to be blocked by anti-bot challenge
2026-06-17T21:20:08.943816+00:00,company_cdcf29e7c3a7895f3497,company,Ag Partners Publicis Africa,"""Ag Partners Publicis Africa"" VivaTech exhibitor company Cote d’Ivoire Consulting & B2B services",search page appears to be blocked by anti-bot challenge
2026-06-17T21:20:09.365672+00:00,company_4f7d17c359b0ab11050b,company,Agence de Développement et d'Innovation de Mayotte - Adim,"""Agence de Développement et d'Innovation de Mayotte - Adim"" VivaTech exhibitor company Mayotte Food & Agriculture",search page appears to be blocked by anti-bot challenge
2026-06-17T21:20:10.407396+00:00,company_47bdc9cf9d16c2f9146a,company,Agentic Learning Labs,"""Agentic Learning Labs"" VivaTech exhibitor company Canada HR & EdTech & Future of Work",search page appears to be blocked by anti-bot challenge
2026-06-17T21:20:11.492422+00:00,company_4a404c6bc7cba0d68a3c,company,Agentur Für Innovation in Der Cybersicherheit Gmbh,"""Agentur Für Innovation in Der Cybersicherheit Gmbh"" VivaTech exhibitor company Germany DeepTech",search page appears to be blocked by anti-bot challenge
2026-06-17T21:20:12.643179+00:00,company_8d5043d099ab47b7a084,company,Agibot,"""Agibot"" VivaTech exhibitor company China Artificial Intelligence & Robotics",search page appears to be blocked by anti-bot challenge
2026-06-17T21:20:13.182847+00:00,company_4140eaa0c48de7e0239b,company,Agirtech,"""Agirtech"" VivaTech exhibitor company France Artificial Intelligence & Robotics",search page appears to be blocked by anti-bot challenge
2026-06-17T21:20:14.758229+00:00,company_ef4422ef7c8738847060,company,Agripass Robotics,"""Agripass Robotics"" VivaTech exhibitor company Israel Artificial Intelligence & Robotics",search page appears to be blocked by anti-bot challenge
2026-06-17T21:20:15.280676+00:00,company_be45484eb6083950a219,company,Agro 5.0,"""Agro 5.0"" VivaTech exhibitor company Zimbabwe Fintech & Banking & Compliance",search page appears to be blocked by anti-bot challenge
2026-06-17T21:20:15.707547+00:00,company_9b0b838f569caca606b3,company,Agrolinera,"""Agrolinera"" VivaTech exhibitor company Spain Energy & Greentech",search page appears to be blocked by anti-bot challenge
2026-06-17T21:20:16.175420+00:00,company_56e8a4f984a60d9409e3,company,Agua de Sol,"""Agua de Sol"" VivaTech exhibitor company France Energy & Greentech",search page appears to be blocked by anti-bot challenge
2026-06-17T21:20:17.291262+00:00,company_398adb84e38138e281d3,company,AI Factory France (Genci),"""AI Factory France (Genci)"" VivaTech exhibitor company France Artificial Intelligence & Robotics",search page appears to be blocked by anti-bot challenge
2026-06-17T21:20:19.707606+00:00,company_a1c5643e1c7c78ec01f4,company,AI Partners,"""AI Partners"" VivaTech exhibitor company France Artificial Intelligence & Robotics",search page appears to be blocked by anti-bot challenge
2026-06-17T21:20:20.709541+00:00,company_2e19826e8aba5e2ee14b,company,AI Verse,"""AI Verse"" VivaTech exhibitor company France Artificial Intelligence & Robotics",search page appears to be blocked by anti-bot challenge
2026-06-17T21:20:21.247109+00:00,company_a443ae704076626e1cf9,company,AI Vibe,"""AI Vibe"" VivaTech exhibitor company Canada Artificial Intelligence & Robotics",search page appears to be blocked by anti-bot challenge
2026-06-17T21:20:24.353341+00:00,company_be45747a0604e785b65a,company,Aica,"""Aica"" VivaTech exhibitor company Switzerland Artificial Intelligence & Robotics",search page appears to be blocked by anti-bot challenge
2026-06-17T21:20:24.958949+00:00,company_9fd6573ce4bd72e88567,company,Aichi Prefecture,"""Aichi Prefecture"" VivaTech exhibitor company Japan Industry & Supply Chain",search page appears to be blocked by anti-bot challenge
2026-06-17T21:20:26.651937+00:00,company_342ab488dbfef99abfe4,company,Aidma,"""Aidma"" VivaTech exhibitor company France Healthcare & Wellness",search page appears to be blocked by anti-bot challenge
2026-06-17T21:20:27.838268+00:00,company_0464fffbbed52ac9d04c,company,AIGreen Limited,"""AIGreen Limited"" VivaTech exhibitor company Hong Kong Mobility & Smart Cities",search page appears to be blocked by anti-bot challenge
2026-06-17T21:20:28.392007+00:00,company_f1f55980196c63e491aa,company,Aikemics,"""Aikemics"" VivaTech exhibitor company France Energy & Greentech",search page appears to be blocked by anti-bot challenge
2026-06-17T21:20:28.892668+00:00,company_605d995d2a36994507af,company,Aikido Security,"""Aikido Security"" VivaTech exhibitor company Belgium Cybersecurity & Defense",search page appears to be blocked by anti-bot challenge
